staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.06391339999390766,,0.037566899962257594,0.06391339999390766,0.5215064999647439,0.5215064999647439,0.5732895999681205,0.8375090999761596,2.8943158999900334,right,10.0,1,1,2.2810985000105575,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
1,2,8.0,2.902052999997977,,2.8944697999977507,2.902052999997977,3.401936399983242,3.401936399983242,3.401936399983242,3.7017622999846935,4.018767200002912,right,8.0,1,1,0.6025873000035062,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
2,2,6.0,4.03433519997634,,4.018861799966544,4.03433519997634,4.533659699955024,4.533659699955024,4.533659699955024,4.8342858999967575,5.03476429998409,left,-6.0,1,1,0.4924672999768518,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
3,2,4.0,5.0502348999725655,,5.03485549998004,5.0502348999725655,5.549343699996825,5.549343699996825,5.549343699996825,5.849767899955623,6.150667099980637,right,4.0,1,1,0.5973710999824107,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
4,2,2.0,6.166651599982288,,6.150788399972953,6.166651599982288,6.665574999991804,6.665574999991804,6.682173699955456,6.9650675999582745,7.831897099968046,left,-2.0,1,1,1.1643765000044368,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
5,2,1.0,7.847464499995112,,7.832021699985489,7.847464499995112,8.347445699968375,8.347445699968375,8.347445699968375,8.646769999992102,9.047524900001008,left,-1.0,1,1,0.6900790000217967,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
6,2,1.0,9.062856899981853,,9.047618699958548,9.062856899981853,9.562830899958499,9.562830899958499,9.562830899958499,9.863280299992766,10.795884199964348,right,1.0,1,1,1.2280595000484027,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
7,2,1.0,10.811530999955721,,10.795978899986949,10.811530999955721,11.311257499968633,11.311257499968633,11.311257499968633,11.61046419997001,12.011660099960864,right,1.0,1,1,0.6945358999655582,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
8,2,1.0,12.026498499966692,,12.01175519998651,12.026498499966692,12.526733400009107,12.526733400009107,12.526733400009107,12.825979199958965,12.944219400000293,right,1.0,1,1,0.41204050002852455,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
9,2,1.0,12.95939889998408,,12.944313199957833,12.95939889998408,13.459169499983545,13.459169499983545,13.459169499983545,13.758208499988541,13.893361900001764,right,1.0,1,1,0.417772899963893,142502,001,2024-09-12_21h14.44.880,Adaptive Staircase Experiment,2024.1.5,None,2024-09-12 21h14.51.704203 +0530,
