staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,2,10,0.0779432,,0.0481185,0.0779432,0.5025875,0.5025875,0.5845145,0.8173866,1.3305247,left,-10,1,1,0.8058496,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
1,2,8,1.3505087,,1.3306651,1.3505087,1.8347362,1.8347362,1.8516751,2.1340665,2.2338498,right,8,1,1,0.3869971,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
2,2,6,2.2500655,,2.2339344,2.2500655,2.7327979,2.7327979,2.7494442,3.0320618,3.2043116,left,-6,1,1,0.4529177,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
3,2,4,3.2162487,,3.2044247,3.2162487,3.7149706,3.7149706,3.7149706,4.0172603,4.0992324,left,-4,1,1,0.3687776,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
4,2,2,4.1153202,,4.099297,4.1153202,4.6144404,4.6144404,4.6144404,4.9138518,4.9818406,left,-2,1,1,0.3639498,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
5,2,1,4.9971879,,4.9819074,4.9971879,5.496791,5.496791,5.496791,5.7963954,6.2467447,left,-1,1,1,0.7358784,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
6,2,1,6.2628168,,6.2468092,6.2628168,6.7464613,6.7464613,6.7626859,7.0460059,7.7128693,left,-1,1,1,0.9590485,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
7,2,1,7.7282968,,7.7129802,7.7282968,8.2282346,8.2282346,8.2282346,8.5280106,8.7453041,left,-1,1,1,0.5017907,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
8,2,1,8.7611175,,8.7453802,8.7611175,9.260587,9.260587,9.2768472,9.5601169,10.0768735,left,-1,1,1,0.8017684,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
9,2,1,10.0930018,,10.0769398,10.0930018,10.5929937,10.5929937,10.5929937,10.9082926,11.0260303,left,-1,1,1,0.4219554,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
10,2,1,11.0419846,,11.0261305,11.0419846,11.541364,11.541364,11.541364,11.8414173,12.0415127,right,1,1,1,0.4985127,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
11,2,1,12.0576184,,12.0415814,12.0576184,12.5408206,12.5408206,12.5568676,12.8402674,12.9073708,right,1,1,1,0.3543487,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
12,1,1,12.9232063,,12.9074447,12.9232063,13.4062243,13.4062243,13.4228596,13.7065532,13.9734362,left,-1,0,0,0.5592108,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
13,1,2,13.9895965,,13.9735059,13.9895965,14.4884043,14.4884043,14.4884043,14.7883412,15.3220076,left,-2,1,1,0.8185139,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
14,1,2,15.3380821,,15.3220843,15.3380821,15.8381711,15.8381711,15.8381711,16.1370685,16.2552205,right,2,1,1,0.4097504,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
15,1,2,16.2705779,,16.2552953,16.2705779,16.7697126,16.7697126,16.7697126,17.0698081,17.4704361,left,-2,1,1,0.695091,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
16,1,1,17.4864404,,17.4705066,17.4864404,17.9853268,17.9853268,17.9853268,18.2848574,18.552398,left,-1,1,1,0.5586753,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
17,0.5,1,18.5684506,,18.5524622,18.5684506,19.0516309,19.0516309,19.0684465,19.3680787,19.501622,left,-1,0,0,0.4378838,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
18,0.5,1.5,19.5175576,,19.5016882,19.5175576,20.0173453,20.0173453,20.0173453,20.3162719,20.6842773,left,-1.5,0,0,0.6547514,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
19,0.5,2,20.6995406,,20.6843425,20.6995406,21.1997087,21.1997087,21.1997087,21.498548,21.8158932,left,-2,0,0,0.6079789,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
20,0.5,2.5,21.8316553,,21.8159579,21.8316553,22.3316232,22.3316232,22.3316232,22.631009,23.0314556,left,-2.5,1,1,0.6868575,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
21,0.5,2.5,23.0477645,,23.0315194,23.0477645,23.5469873,23.5469873,23.5469873,23.8463899,24.0310623,right,2.5,1,1,0.4788001,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
22,0.5,2.5,24.046166,,24.0311298,24.046166,24.5462729,24.5462729,24.5462729,24.8453343,24.9465862,left,-2.5,1,1,0.3882863,707309,1,2024-09-11_12h07.00.867,Adaptive Staircase Experiment,2024.1.5,None,2024-09-11 12h07.06.483368 +0530
