StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0199487,0.0365892,7.0138634,,,,,,,,,,,,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,0,0,1,7.0513092,,,,,7.0229692,7.0513092,7.0513092,7.080476,8.0460958,8.0620339,8.8979153,n,1,0.8425026,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,1,1,7,8.9327132,,,,,8.9000545,8.9327132,8.9327132,8.9629212,9.9437794,9.9437794,13.8080883,m,1,3.8621176,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,2,2,5,13.8411254,,,,,13.8086141,13.8411254,13.857586,13.8745005,14.8397442,14.872396,14.9073156,n,1,0.0528358,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,3,3,8,14.9302781,,,,,14.9078023,14.9302781,14.9397736,14.9734151,15.9387554,15.9387554,16.4226782,m,1,0.4818011,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,4,4,2,16.4386672,,,,,16.4234541,16.4386672,16.4550873,16.4717539,17.4535188,17.4535188,17.4716929,m,1,0.0138253,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,5,5,6,17.4876219,,,,,17.4721698,17.4876219,17.5038593,17.5202225,18.503392,18.503392,21.0518951,m,1,2.5469187,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,6,6,9,21.0855549,,,,,21.0525165,21.0855549,21.1014708,21.1180876,22.0829398,22.1164072,22.1175816,m,1,0.0227135,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,7,7,0,22.1542699,,,,,22.1181824,22.1542699,22.1542699,22.1831318,23.1490209,23.1652531,25.5817757,n,1,2.418855,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,8,8,4,25.6347257,,,,,25.5828457,25.6347257,25.6347257,25.6806309,26.6125943,26.6453152,27.1959362,n,1,0.5810088,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,9,9,3,27.230173,,,,,27.1967611,27.230173,27.230173,27.2628984,28.2285892,28.2447339,28.9126242,n,1,0.666445,None,4,1,2024-12-03_20h26.13.491,SOLO PROJECT,2024.1.5,None,2024-12-03 20h26.33.181805 +0530
,,,,,,,,,,,,,,,,,,,,,,1.14890234,,,,,,,,
