StimObject,stimImage,StimCatergory,correctAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,intro.stopped,trial_routine.started,fixation.started,stimulusImage.started,fixation.stopped,key_resp_2.started,stimulusImage.stopped,trial_routine.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0197065,0.0368016,7.0140454,,,,,,,,,,,,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
cow,images_soloproj\cow_img.jpg,animate,m,0,0,0,8,7.0663644,,,,,7.0234065,7.0663644,7.0663644,7.097078,8.0459639,8.0786827,14.2920313,n,0,6.2314231,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
rock,images_soloproj\rock_img.jpg,inanimate,n,0,1,1,0,14.3270343,,,,,14.3002444,14.3270343,14.3407052,14.3574118,15.3391767,15.3391767,15.690085,m,0,0.3440624,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
butterfly,images_soloproj\butterfly_img.jpg,animate,m,0,2,2,9,15.7234285,,,,,15.6907948,15.7234285,15.7234285,15.7555117,16.722188,16.7383983,16.9391279,n,0,0.2154992,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
truck,images_soloproj\truckkun_img.jpg,inanimate,n,0,3,3,4,16.9921729,,,,,16.9396144,16.9921729,16.9921729,17.0223641,17.9707638,18.0036533,18.1880933,m,0,0.2119768,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
shoe,images_soloproj\shoe_img.jpg,inanimate,n,0,4,4,3,18.2207,,,,,18.1885602,18.2207,18.2374485,18.2541556,19.2191052,19.2518035,25.5638499,m,0,6.3297009,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
cube,images_soloproj\cube_img.jpg,inanimate,n,0,5,5,1,25.6116403,,,,,25.5645065,25.6116403,25.6301606,25.6472359,26.596093,26.6288092,27.0976342,m,0,0.4998415,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
grasshopper,images_soloproj\grasshopper_img.jpg,animate,m,0,6,6,7,27.1496953,,,,,27.098216,27.1496953,27.1496953,27.1789108,28.1283405,28.1614783,28.1952001,n,0,0.0560528,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
dog,images_soloproj\doggo_img.jpg,animate,m,0,7,7,2,28.2280175,,,,,28.195813,28.2280175,28.2446662,28.2608121,29.227302,29.2434855,32.4409964,n,0,3.2049732,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
broom,images_soloproj\broom_img.jpg,inanimate,n,0,8,8,5,32.473892,,,,,32.4415733,32.473892,32.490733,32.5074584,33.4730779,33.4889539,33.623852,m,0,0.1364133,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
man,images_soloproj\man_desert.jpg,animate,m,0,9,9,6,33.6585359,,,,,33.6245228,33.6585359,33.6731658,33.6897111,34.6550005,34.6879226,38.3703348,n,0,3.7080651,None,13,1,2024-12-03_22h47.24.716,SOLO PROJECT,2024.1.5,None,2024-12-03 22h48.46.794413 +0530
,,,,,,,,,,,,,,,,,,,,,,2.09380083,,,,,,,,
