trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr&,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.20038659998681396,,0.15044830000260845,5,0.20038659998681396,0.20038659998681396,0.1765476000146009,2.139795299997786,[-0.003703703703703704],[-0.06388888888888888],[1],[0],[0],[1.962366199993994],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
1,0,1,0,2.1913683000020683,,2.1457875999913085,,2.1913683000020683,2.1913683000020683,0.030860899976687506,3.752134299982572,[0.32407407407407407],[0.1175925925925926],[1],[0],[0],[1.5755352000123821],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
2,0,2,0,3.8093349999981,,3.756056499987608,,3.8093349999981,3.8093349999981,0.03680269999313168,5.8829824999847915,[0.04814814814814815],[-0.46574074074074073],[1],[0],[0],[2.090523500024574],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
3,0,3,0,5.93478640000103,,5.886867799999891,,5.93478640000103,5.93478640000103,0.03251479999744333,7.217725399998017,[0.2962962962962963],[0.24351851851851852],[1],[0],[0],[1.2984904000186361],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
4,0,4,0,7.260671199997887,,7.221272700000554,5,7.260671199997887,7.260671199997887,0.022795299999415874,8.848027100000763,[0.026851851851851852],[-0.3212962962962963],[1],[0],[0],[1.6037470999872312],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
5,0,5,0,8.879628599999705,,8.85144189998391,5,8.879628599999705,8.879628599999705,0.016531400004168972,10.745575999986613,[0.4101851851851852],[0.37037037037037035],[1],[0],[0],[1.8776049999869429],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
6,0,6,0,10.786837699997704,,10.750407199986512,5,10.786837699997704,10.786837699997704,0.022882799996295944,12.294329299998935,[0.22962962962962963],[-0.36018518518518516],[1],[0],[0],[1.5214406000159215],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
7,0,7,0,12.33199439998134,,12.299011800001608,5,12.33199439998134,12.33199439998134,0.02011289997608401,13.826423399994383,[-0.43703703703703706],[-0.32685185185185184],[1],[0],[0],[1.5076410000037868],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
8,0,8,0,13.889087199990172,,13.831237799982773,,13.889087199990172,13.889087199990172,0.040094500000122935,15.43438559997594,[0.31203703703703706],[0.35185185185185186],[1],[0],[0],[1.5634883000166155],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
9,0,9,0,15.503905699995812,,15.439196599996649,,15.503905699995812,15.503905699995812,0.041534399992087856,16.623807700001635,[0.022222222222222223],[0.30925925925925923],[1],[0],[0],[1.1434042000037152],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
10,0,10,0,16.6644241999893,,16.629258699977072,5,16.6644241999893,16.6644241999893,0.022700300003634766,17.905957499984652,[-0.3537037037037037],[0.02962962962962963],[1],[0],[0],[1.25497889998951],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
11,0,11,0,17.965396299987333,,17.910692099976586,,17.965396299987333,17.965396299987333,0.03773969999747351,19.73568779998459,[-0.43425925925925923],[-0.3148148148148148],[1],[0],[0],[1.7875602999993134],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
12,0,12,0,19.799250199983362,,19.74032620000071,,19.799250199983362,19.799250199983362,0.03946080000605434,21.128155699989293,[0.1824074074074074],[0.006481481481481481],[1],[0],[0],[1.3486553000111599],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
13,0,13,0,21.1681408000004,,21.13367599999765,5,21.1681408000004,21.1681408000004,0.021697000018320978,22.718718599993736,[0.4425925925925926],[0.4962962962962963],[1],[0],[0],[1.563902900001267],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
14,0,14,0,22.782119399984367,,22.723656999995,,22.782119399984367,22.782119399984367,0.04105410000192933,24.398035499994876,[-0.2814814814814815],[0.4046296296296296],[1],[0],[0],[1.6336912999977358],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
15,0,15,0,24.469093399995472,,24.404455199983204,,24.469093399995472,24.469093399995472,0.04599949999828823,25.61201099999016,[-0.4324074074074074],[-0.006481481481481481],[1],[0],[0],[1.162207400018815],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
16,0,16,0,25.67228780000005,,25.61688079999294,,25.67228780000005,25.67228780000005,0.03709520000847988,26.748644299979787,[-0.1648148148148148],[0.2490740740740741],[1],[0],[0],[1.0950217999925371],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
17,0,17,0,26.784750299993902,,26.75342069999897,5,26.784750299993902,26.784750299993902,0.01961360001587309,27.848802099993918,[-0.45092592592592595],[-0.15],[1],[0],[0],[1.0762591999955475],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
18,0,18,0,27.886729499994544,,27.853983799985144,5,27.886729499994544,27.886729499994544,0.02032020001206547,29.261884699983057,[0.14629629629629629],[-0.3925925925925926],[1],[0],[0],[1.3882509999966715],[],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
19,0,19,0,29.324856799998088,,29.267006499983836,,29.324856799998088,29.324856799998088,0.03953040001215413,30.815453599992907,[0.14814814814814814],[-0.45925925925925926],[1],[0],[0],[1.5092966000083834],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
20,0,20,0,30.879614499979652,,30.820455899985973,,30.879614499979652,30.879614499979652,0.04069660001550801,31.91343990000314,[0.1925925925925926],[0.017592592592592594],[1],[0],[0],[1.0525461999932304],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
21,0,21,0,31.97262149999733,,31.91824179998366,,31.97262149999733,31.97262149999733,0.038150599983055145,33.433936299989,[-0.39351851851851855],[0.31203703703703706],[1],[0],[0],[1.4778180999855977],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
22,0,22,0,33.49631449999288,,33.43893159998697,,33.49631449999288,33.49631449999288,0.03877779998583719,34.67281589997583,[0.11944444444444445],[0.3527777777777778],[1],[0],[0],[1.195449999999255],[],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
23,0,23,0,34.735626099980436,,34.67779519999749,,34.735626099980436,34.735626099980436,0.04078730000765063,36.371409999992466,[0.42685185185185187],[-0.37962962962962965],[1],[0],[0],[1.653224500012584],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
24,0,24,0,36.411001799977385,,36.376238199998625,5,36.411001799977385,36.411001799977385,0.021694799972465262,37.57298179998179,[-0.05092592592592592],[-0.2861111111111111],[1],[0],[0],[1.17529299997841],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
25,0,25,0,37.636784300004365,,37.57818899999256,,37.636784300004365,37.636784300004365,0.0410074999963399,39.5422336999909,[-0.1388888888888889],[0.43148148148148147],[1],[0],[0],[1.9232966999989003],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
26,0,26,0,39.58323580000433,,39.54716560000088,5,39.58323580000433,39.58323580000433,0.02294549997895956,40.88614609997603,[-0.3175925925925926],[0.25833333333333336],[1],[0],[0],[1.3165716000075918],['Target'],,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
27,0,27,0,40.94858359999489,,40.89075339998817,,40.94858359999489,40.94858359999489,0.0407872999785468,42.102187899989076,[0.26851851851851855],[-0.23796296296296296],[1],[0],[0],[1.1710743999865372],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
28,0,28,0,42.16611379999085,,42.10754029999953,,42.16611379999085,42.16611379999085,0.042565699986880645,44.00031539998599,[0.3787037037037037],[0.49444444444444446],[1],[0],[0],[1.8508969999966212],['Target'],10,329676,001,2024-10-06_23h31.34.609,Visual Search Task_tutorial,2024.1.5,None,2024-10-06 23h31.44.681191 +0530,
