trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr&,Fixation.started,Target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,num_distr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.07499619999725837,,0.009318900003563613,10,0.07499619999725837,0.07499619999725837,0.05483930000627879,2.6565985000052024,[-0.4046296296296296],[0.43796296296296294],[1],[0],[0],[2.600557799989474],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
1,0,1,0,2.6985158000024967,,2.662774399999762,,2.6985158000024967,2.6985158000024967,0.021408400003565475,3.996828400006052,[-0.21388888888888888],[0.38333333333333336],[1],[0],[0],[1.3130971000064164],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
2,0,2,0,4.035401200002525,,4.001600100003998,,4.035401200002525,4.035401200002525,0.021538499990128912,5.894540399996913,[0.337037037037037],[-0.2953703703703704],[1],[0],[0],[1.8718235999986064],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
3,0,3,0,5.953784099998302,,5.899293900001794,10,5.953784099998302,5.953784099998302,0.03823779999220278,7.935335700007272,[-0.43333333333333335],[-0.3537037037037037],[1],[0],[0],[1.9981587000074796],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
4,0,4,0,7.999505100000533,,7.940012000006391,10,7.999505100000533,7.999505100000533,0.04159870000148658,9.80395739999949,[-0.25462962962962965],[0.06574074074074074],[1],[0],[0],[1.8227470999991056],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
5,0,5,0,9.86345910000091,,9.808527800007141,10,9.86345910000091,9.86345910000091,0.03776930000458378,11.220142999998643,[-0.125],[0.21851851851851853],[1],[0],[0],[1.3742080999945756],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
6,0,6,0,11.257346800004598,,11.22492360000615,,11.257346800004598,11.257346800004598,0.021031999989645556,13.071612300002016,[-0.31203703703703706],[0.1398148148148148],[1],[0],[0],[1.8260295000072801],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
7,0,7,0,13.109829299995909,,13.076268100005109,,13.109829299995909,13.109829299995909,0.02023880000342615,15.235388500004774,[0.027777777777777776],[0.4324074074074074],[1],[0],[0],[2.1392600999970455],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
8,0,8,0,15.272503900006996,,15.240032100002281,,15.272503900006996,15.272503900006996,0.020613300002878532,16.86717110000609,[0.3287037037037037],[0.1935185185185185],[1],[0],[0],[1.6069061999878613],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
9,0,9,0,16.925907800003188,,16.873497900000075,10,16.925907800003188,16.925907800003188,0.036397699994267896,18.82956500000728,[0.008333333333333333],[0.2824074074074074],[1],[0],[0],[1.9200209000118775],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
10,0,10,0,18.892009700008202,,18.834430100003374,10,18.892009700008202,18.892009700008202,0.039621199990506284,20.557815699998173,[0.43425925925925923],[0.46944444444444444],[1],[0],[0],[1.684182500001043],[],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
11,0,11,0,20.617545800007065,,20.562517500002286,10,20.617545800007065,20.617545800007065,0.037920099988696165,22.507072499996866,[0.18981481481481483],[-0.1259259259259259],[1],[0],[0],[1.9069741999992402],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
12,0,12,0,22.569509100008872,,22.51202490000287,10,22.569509100008872,22.569509100008872,0.038146999999298714,24.899627400009194,[-0.09166666666666666],[0.37777777777777777],[1],[0],[0],[2.349889000004623],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
13,0,13,0,24.934302900001057,,24.904226200000267,,24.934302900001057,24.934302900001057,0.018866200000047684,26.160604300006526,[-0.2796296296296296],[0.3277777777777778],[1],[0],[0],[1.2377925000037067],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
14,0,14,0,26.222926400005235,,26.165372600007686,10,26.222926400005235,26.222926400005235,0.04044489999068901,27.94542669999646,[0.32685185185185184],[0.11203703703703703],[1],[0],[0],[1.7400974999909522],['Target'],,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
15,0,15,0,27.98238549999951,,27.950436300001456,,27.98238549999951,27.98238549999951,0.019765400007599965,29.773669700007304,[-0.35185185185185186],[-0.016666666666666666],[1],[0],[0],[1.8038822000089567],['Target'],5,919050,001,2024-10-08_21h42.12.870,Visual Search Task_tutorial,2024.1.5,None,2024-10-08 21h42.20.407136 +0530,
