Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,TestPhase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestPhase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,TestText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Police,,,,0,0,0,12,,,,,0.05860290001146495,,0.018260000040754676,0.05860290001146495,0.05860290001146495,2.574739799834788,1.0185185185185186,2.5232971000950783,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
board,,,,0,1,1,4,,,,,2.623193899868056,,2.575257600052282,2.623193899868056,2.623193899868056,3.374985999893397,1.0185185185185186,0.7666191000025719,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
Case,,,,0,2,2,10,,,,,3.3997362998779863,,3.375292500015348,3.3997362998779863,3.3997362998779863,4.015725899953395,1.0185185185185186,0.614166900049895,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
Pastry,,,,0,3,3,9,,,,,4.039724400034174,,4.016046999953687,4.039724400034174,4.039724400034174,4.666805899934843,1.0185185185185186,0.6258318999316543,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
T-shirt,,,,0,4,4,7,,,,,4.6912389998324215,,4.667120999889448,4.6912389998324215,4.6912389998324215,5.2722142999991775,1.0185185185185186,0.5792411998845637,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
mouse,,,,0,5,5,8,,,,,5.296253399923444,,5.272535800002515,5.296253399923444,5.296253399923444,6.090592599939555,1.0185185185185186,0.7949342001229525,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
Poster,,,,0,6,6,14,,,,,6.116672900039703,,6.090904199983925,6.116672900039703,6.116672900039703,6.703682099934667,1.0185185185185186,0.5884849999565631,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
Chart,,,,0,7,7,6,,,,,6.727997799869627,,6.704034399939701,6.727997799869627,6.727997799869627,7.205106199951842,1.0185185185185186,0.4756076999474317,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
cushion,,,,0,8,8,1,,,,,7.240917299874127,,7.20542769995518,7.240917299874127,7.240917299874127,7.827147200005129,1.0185185185185186,0.592717899940908,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
marble,,,,0,9,9,3,,,,,7.849617099855095,,7.827515600016341,7.849617099855095,7.849617099855095,8.327183400047943,1.0185185185185186,0.4751806000713259,,,,,,,,,,,,,,,,309747,001,2024-11-07_15h41.07.075,Word Priming Exp,2024.1.5,None,2024-11-07 15h41.11.891018 +0530,
