Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,TestPhase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,TestPhase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
mouse,,,,0,0,0,8,,,,,0.0353694,,0.0105542,0.0353694,0.0353694,2.7912846,1.009259259,2.7560294,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Pastry,,,,0,1,1,9,,,,,2.8231703,,2.7919512,2.8231703,2.8231703,3.1421464,1.009259259,0.3181482,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Cruise,,,,0,2,2,11,,,,,3.1649889,,3.1424285,3.1649889,3.1649889,3.6246693,1.009259259,0.4591387,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Police,,,,0,3,3,12,,,,,3.6477791,,3.6249504,3.6477791,3.6477791,4.091252,1.009259259,0.4429534,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
board,,,,0,4,4,4,,,,,4.1148929,,4.0915357,4.1148929,4.1148929,4.7405933,1.009259259,0.6249351,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Laptop,,,,0,5,5,5,,,,,4.764218,,4.740875,4.764218,4.764218,5.2575208,1.009259259,0.4923258,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Poster,,,,0,6,6,14,,,,,5.2787706,,5.2578054,5.2787706,5.2787706,5.7896814,1.009259259,0.5087013,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Chart,,,,0,7,7,6,,,,,5.8164088,,5.7900046,5.8164088,5.8164088,6.2888132,1.009259259,0.4730442,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
T-shirt,,,,0,8,8,7,,,,,6.3136027,,6.2890987,6.3136027,6.3136027,6.9225379,1.009259259,0.605819,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
phone,,,,0,9,9,2,,,,,6.9490554,,6.9228743,6.9490554,6.9490554,7.5582411,1.009259259,0.6076451,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Case,,,,0,10,10,10,,,,,7.5805533,,7.5585328,7.5805533,7.5805533,8.1037514,1.009259259,0.521322,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
cushion,,,,0,11,11,1,,,,,8.1236673,,8.1040253,8.1236673,8.1236673,8.5856901,1.009259259,0.4595815,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
Keys,,,,0,12,12,13,,,,,8.6092724,,8.5859559,8.6092724,8.6092724,9.1851325,1.009259259,0.5755689,,,,,,,,,,,,,,,,638035,1,2024-10-25_11h44.55.828,Word Priming Exp,2024.1.5,None,2024-10-25 11h44.59.615551 +0530
