Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,StudyText.stopped,trial.stopped,Studyslider.response,Studyslider.rt,TestPhase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,TestText.stopped,TestPhase.stopped,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Cruise,,,,0,0,0,11,,,,,0.04580809990875423,,0.01270200009457767,0.04580809990875423,0.04580809990875423,8.044737299904227,13.370859100017697,1.0277777777777777,13.323570400010794,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
Case,,,,0,1,1,10,,,,,13.424189999932423,,13.372889100108296,13.424189999932423,13.424189999932423,,15.612993200076744,1.0694444444444444,2.208995700115338,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
T-shirt,,,,0,2,2,7,,,,,15.639646300114691,,15.613304400118068,15.639646300114691,15.639646300114691,,16.60918530006893,1.0694444444444444,0.9700197000056505,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
cushion,,,,0,3,3,1,,,,,16.63547129998915,,16.60948080010712,16.63547129998915,16.63547129998915,,18.99719369993545,1,2.3632086000870913,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
Pastry,,,,0,4,4,9,,,,,19.023985899984837,,18.997711299918592,19.023985899984837,19.023985899984837,,19.95755030005239,1,0.9321129999589175,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
Chart,,,,0,5,5,6,,,,,19.97899720002897,,19.957848800113425,19.97899720002897,19.97899720002897,,20.878107199911028,1,0.8985727999825031,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
marble,,,,0,6,6,3,,,,,20.900518800131977,,20.878388500073925,20.900518800131977,20.900518800131977,,21.766070200130343,1,0.8653835000004619,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
mouse,,,,0,7,7,8,,,,,21.793945899931714,,21.766586400102824,21.793945899931714,21.793945899931714,,22.65598200005479,1,0.8619692998472601,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
Laptop,,,,0,8,8,5,,,,,22.68074920005165,,22.656271900050342,22.68074920005165,22.68074920005165,,23.516294100089,1,0.8291179998777807,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
Police,,,,0,9,9,12,,,,,23.54841970000416,,23.51687559997663,23.54841970000416,23.54841970000416,,24.303056299919263,1,0.7566328998655081,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
phone,,,,0,10,10,2,,,,,24.32803270011209,,24.303376500029117,24.32803270011209,24.32803270011209,,24.984974100021645,1,0.656625899951905,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
Keys,,,,0,11,11,13,,,,,25.01185530005023,,24.98537479992956,25.01185530005023,25.01185530005023,,25.758185100043193,1,0.7473724998999387,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
Poster,,,,0,12,12,14,,,,,25.78272010013461,,25.75851899990812,25.78272010013461,25.78272010013461,,26.466144199948758,1,0.6850502998568118,,,,,,,,,,,,,,,,907104,001,2024-11-07_15h35.24.606,Word Priming Exp,2024.1.5,None,2024-11-07 15h35.30.797987 +0530,
